cluster,latitude,longitude,Cluster_Label
503,41.7451505705,-87.72178323,503.0
504,41.972649575,-87.774597618,504.0
505,41.74621174,-87.635406033,505.0
506,41.856958971,-87.730722361,506.0
507,41.745808966,-87.547926023,507.0
508,41.986066128,-87.728520584,508.0
509,41.770525914,-87.635351487,509.0
510,41.872794157,-87.66021739,510.0
511,41.796986663,-87.684157541,511.0
512,42.004678619,-87.708285058,512.0
513,41.740412708,-87.544180405,513.0
514,41.909338223,-87.665218973,514.0
515,41.843879386,-87.620432585,515.0
516,41.797572754,-87.601258845,516.0
517,41.845124638,-87.646447016,517.0
518,41.977437325,-87.899335231,518.0
519,41.798043812,-87.74722050849999,519.0
520,41.831203853,-87.612552184,520.0
521,41.7422914275,-87.544216952,521.0
522,41.733251948,-87.666637175,522.0
523,41.975686942,-87.71356183,523.0
524,41.762977326,-87.634601224,524.0
525,41.69919655,-87.642165431,525.0
526,41.849056472,-87.640040128,526.0
527,41.92046017,-87.67083136,527.0
528,41.761545444,-87.716191081,528.0
529,41.985421498,-87.829756604,529.0
530,41.791950089,-87.800234184,530.0
531,41.736758671,-87.596887134,531.0
532,41.718185624,-87.576490828,532.0
533,41.800072612,-87.711102598,533.0
534,41.769690615,-87.713759977,534.0
535,41.8292528865,-87.689914861,535.0
536,41.975276551,-87.767391513,536.0
537,41.827373751,-87.682568055,537.0
538,42.014985984,-87.666763844,538.0
539,41.828894171,-87.693111091,539.0
540,41.797105399,-87.662237419,540.0
541,41.7210365115,-87.673560108,541.0
542,41.7097158085,-87.5609067865,542.0
543,41.938342509,-87.784538038,543.0
544,41.656549873,-87.543515111,544.0
545,41.778436411,-87.589657198,545.0
546,41.717005593,-87.536493902,546.0
547,41.989211683,-87.92523928,547.0
548,41.740871113,-87.658339122,548.0
549,41.730671196,-87.56947265,549.0
550,41.955739277,-87.774420954,550.0
551,41.713199658,-87.536004377,551.0
552,41.788492935,-87.74147999,552.0
553,41.725067934,-87.614257032,553.0
554,41.946542477,-87.736084376,554.0
555,41.812252498,-87.619675383,555.0
556,41.790581689999996,-87.7341114445,556.0
557,41.8585935495,-87.674381283,557.0
558,41.707706931,-87.559651388,558.0
559,41.799979441,-87.700078948,559.0
560,41.808069268,-87.70803582,560.0
561,41.716916031,-87.6341376435,561.0
562,41.737915903,-87.609708809,562.0
563,41.70902837,-87.654076098,563.0
564,41.812417118,-87.624545162,564.0
565,41.76532588,-87.601884473,565.0
566,41.796964182,-87.67195775,566.0
567,41.727051807,-87.587912885,567.0
568,41.822549711,-87.665424905,568.0
569,41.845105566,-87.622121892,569.0
570,41.733410803,-87.630660891,570.0
571,41.828194666,-87.659315849,571.0
572,41.784489766,-87.626521152,572.0
573,41.999535949000006,-87.690672777,573.0
574,41.9480607835,-87.800945943,574.0
575,41.950907827,-87.644958028,575.0
576,41.946742667,-87.688231242,576.0
577,41.811995498,-87.644412418,577.0
578,41.951156155,-87.796209246,578.0
579,41.792928834,-87.7786568865,579.0
580,41.85102174,-87.618967398,580.0
581,41.852368074,-87.664340305,581.0
582,41.735299884,-87.695768531,582.0
583,41.812610526,-87.723765071,583.0
584,41.746440591,-87.616414325,584.0
585,41.783949966,-87.670390578,585.0
586,41.743549234,-87.7022204585,586.0
587,41.8239545365,-87.670516874,587.0
588,41.760400469000004,-87.670984705,588.0
589,41.740541626,-87.542971518,589.0
590,41.742246356,-87.717635309,590.0
591,41.927998524,-87.673208159,591.0
592,41.931571261,-87.78085731,592.0
593,41.883885509,-87.674879385,593.0
594,41.938265636,-87.686447393,594.0
595,41.705966191499996,-87.7008152295,595.0
596,41.936822307,-87.806705062,596.0
597,41.960500875,-87.670802808,597.0
598,41.716407167,-87.563440238,598.0
599,41.738671565,-87.712734833,599.0
600,41.777783073,-87.617271544,600.0
601,41.745885877,-87.549141673,601.0
602,41.94489812,-87.735112072,602.0
603,41.734835349,-87.567155423,603.0
604,41.972681352,-87.739308038,604.0
605,41.803433215,-87.728727066,605.0
606,41.841647765,-87.7342115,606.0
607,41.841471897,-87.629057214,607.0
608,41.675383989,-87.627397716,608.0
609,41.747414503,-87.695000605,609.0
610,41.795431925,-87.6536942475,610.0
611,41.963958681,-87.676072559,611.0
612,41.662625657,-87.645051489,612.0
613,41.746539479,-87.631766989,613.0
614,41.791380199,-87.724699662,614.0
615,41.65736912,-87.591933595,615.0
616,41.721398883,-87.648612493,616.0
617,41.648200823500005,-87.544374472,617.0
618,41.807730066999994,-87.703859846,618.0
619,41.971818781500005,-87.671127232,619.0
620,41.805421178,-87.725963869,620.0
621,41.960495959,-87.767222504,621.0
622,41.809648146,-87.59659106250001,622.0
623,41.798755818,-87.667142481,623.0
624,41.99270274,-87.682362609,624.0
625,41.949393021,-87.721360841,625.0
626,41.722004697,-87.607583287,626.0
627,41.850657231,-87.612880723,627.0
628,41.707527408,-87.531659832,628.0
629,41.989457982,-87.674670211,629.0
630,41.7293845025,-87.56529442749999,630.0
631,41.6940225595,-87.6555411945,631.0
632,41.740222487,-87.69378785699999,632.0
633,41.81255052,-87.596892617,633.0
634,41.665814864,-87.558853882,634.0
635,41.776400433,-87.570448042,635.0
636,41.7612601095,-87.619988621,636.0
637,41.903506392,-87.657657406,637.0
638,41.967902418,-87.664224684,638.0
639,41.974824456,-87.783344986,639.0
640,41.960444456,-87.771210643,640.0
641,41.926287021,-87.785547998,641.0
642,41.961232709,-87.646762046,642.0
643,41.938248896,-87.786312492,643.0
644,41.78556531,-87.586579138,644.0
645,41.720273549,-87.56584875,645.0
646,41.7368456385,-87.5444575395,646.0
647,41.962044849,-87.693611701,647.0
648,41.8108474545,-87.711250889,648.0
649,41.7341396645,-87.588076656,649.0
650,41.696698285,-87.541350715,650.0
651,41.765104576,-87.599459855,651.0
652,41.742911327499996,-87.676271621,652.0
653,41.790162733,-87.63287758,653.0
654,41.7549606725,-87.67326755799999,654.0
655,41.717180826,-87.535281725,655.0
656,41.965721019,-87.677621093,656.0
657,41.952514088,-87.732440611,657.0
658,41.712206144,-87.659444094,658.0
659,41.92792485,-87.783363501,659.0
660,41.685702753,-87.6788910945,660.0
661,41.737094305,-87.572998178,661.0
662,41.800305729499996,-87.7074176555,662.0
663,41.812306287,-87.74328289,663.0
664,41.66807357,-87.635569695,664.0
665,41.975217572999995,-87.685004974,665.0
666,41.987362912,-87.702293402,666.0
667,41.741445935,-87.71018973400001,667.0
668,41.776126979,-87.76728997449999,668.0
669,41.74656406,-87.621264704,669.0
670,41.949006338,-87.688320563,670.0
671,41.748699846,-87.741302702,671.0
672,41.933780135,-87.777269865,672.0
673,41.743815671,-87.614711765,673.0
674,41.682285511,-87.662597934,674.0
675,41.861161041,-87.627270627,675.0
676,41.739652574,-87.70800515100001,676.0
677,41.725945682,-87.64980119399999,677.0
678,41.968080109,-87.743581423,678.0
679,41.967804319,-87.767481572,679.0
680,41.7968504015,-87.6731697885,680.0
681,41.769551228,-87.670014643,681.0
682,41.666185904,-87.637906975,682.0
683,41.782192322,-87.673979263,683.0
684,41.86347,-87.73365871499999,684.0
685,41.762260024,-87.671035406,685.0
686,41.713189532,-87.65746412,686.0
687,41.8372464805,-87.7040769865,687.0
688,41.923806678,-87.80439533,688.0
689,41.851366777500004,-87.7375963905,689.0
690,41.793065099,-87.738831483,690.0
691,41.954203607,-87.674688049,691.0
692,41.938513074,-87.807980333,692.0
693,41.970760111,-87.769373806,693.0
694,41.742710224,-87.634088181,694.0
695,41.70974409,-87.658123881,695.0
696,41.756772166,-87.722175346,696.0
697,41.935789776,-87.7359160895,697.0
698,41.968788631,-87.676578363,698.0
699,41.9179129675,-87.7755227225,699.0
700,41.735903429,-87.732393735,700.0
